,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
66,Spiked Punch,"{'Feelings': ['Euphoric ', 'Relaxed ', 'Happy ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Depression ', 'Insomnia ', 'Pain ', 'Stress ', None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.5,14,Purple Punch,Larry OG,,
67,Hawaiian,"{'Feelings': ['Happy ', 'Uplifted ', 'Relaxed ', 'Euphoric ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Anxious ', 'Dizzy '], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Fatigue ']}",Sativa,"{'THC': '19%', 'CBD': '—', 'CBG': None}",4.2,164,,,,
68,Katsu,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Euphoric ', 'Happy ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Pain ', 'Insomnia ', 'Stress ', 'Anxiety ', 'Muscle spasms ']}",Indica,"{'THC': '16%', 'CBD': '—', 'CBG': None}",4.2,45,Hindu Kush,N/A,,
69,Grapefruit,"{'Feelings': ['Happy ', 'Uplifted ', 'Energetic ', 'Euphoric ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Headache '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'Fatigue ']}",Sativa,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.2,574,Cinderella 99,N/A,Zkittlez,Fruit Loops
70,Exodus Kush,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",5.0,1,OG Kush,Exodus Cheese,,
71,Blueberry Jack,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Anxious ', 'Headache '], 'Helps with': ['Stress ', 'Depression ', 'Nausea ', 'Pain ', 'Anxiety ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.3,64,Jack Herer,DJ Short Blueberry,,
72,Elephant,"{'Feelings': ['Happy ', 'Relaxed ', 'Focused ', 'Uplifted ', 'Talkative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Headache ', 'Paranoid ', None], 'Helps with': ['Eye pressure ', 'Pain ', 'Spasticity ', 'Arthritis ', None]}",Sativa,"{'THC': '15%', 'CBD': '—', 'CBG': None}",4.3,20,,,,
73,Memory Loss,"{'Feelings': ['Uplifted ', 'Happy ', 'Euphoric ', 'Relaxed ', 'Creative '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Dry eyes ', 'Headache ', 'Dizzy '], 'Helps with': ['Stress ', 'Pain ', 'Depression ', 'Anxiety ', 'Fatigue ']}",Sativa,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.6,78,Amnesia Haze,Face Off OG,,
74,Zombie Kush,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Euphoric ', 'Happy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', None], 'Helps with': ['Insomnia ', 'Stress ', 'Anxiety ', 'Pain ', 'Lack of appetite ']}",Indica,"{'THC': '13%', 'CBD': '—', 'CBG': None}",4.7,54,Bubba Kush,Amnesia,,
75,Silver Blaze,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
76,Tropaya Pie,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",,,,,,
